_id,TimePeriod,LocationCode,SubGroup,NumberOfDeaths,NumberOfDeathsQF,NumberOfPatients,NumberOfPatientsQF,CrudeRate
591,2021Q2,A111H,All Admissions,277,"",7393,"",3.74678750169079
592,2021Q2,A210H,All Admissions,206,"",5690,"",3.62038664323374
593,2021Q2,B120H,All Admissions,115,"",3151,"",3.64963503649635
594,2021Q2,Y144H,All Admissions,29,"",455,"",6.37362637362637
595,2021Q2,Y146H,All Admissions,178,"",5880,"",3.02721088435374
596,2021Q2,V217H,All Admissions,314,"",9109,"",3.44714019101987
597,2021Q2,N101H,All Admissions,454,"",12170,"",3.73048479868529
598,2021Q2,N411H,All Admissions,96,"",2883,"",3.32986472424558
599,2021Q2,C121H,All Admissions,27,"",507,"",5.32544378698225
600,2021Q2,H103H,All Admissions,32,"",691,"",4.63096960926194
601,2021Q2,H202H,All Admissions,176,"",6541,"",2.69072007338327
602,2021Q2,H212H,All Admissions,12,"",470,"",2.5531914893617
603,2021Q2,S116H,All Admissions,194,"",6176,"",3.14119170984456
604,2021Q2,S308H,All Admissions,161,"",6277,"",2.56491954755456
605,2021Q2,S314H,All Admissions,442,"",12407,"",3.56250503747884
606,2021Q2,R103H,All Admissions,32,"",909,"",3.52035203520352
607,2021Q2,Z102H,All Admissions,22,"",808,"",2.72277227722772
608,2021Q2,W107H,All Admissions,36,"",967,"",3.72285418821096
609,2021Q2,F704H,All Admissions,443,"",9765,"",4.53661034306196
610,2021Q2,T101H,All Admissions,394,"",10663,"",3.69502016318109
611,2021Q2,T202H,All Admissions,94,"",2481,"",3.78879484079
612,2021Q2,T312H,All Admissions,0,"",713,"",0
613,2021Q2,C313H,All Admissions,136,"",3745,"",3.63150867823765
614,2021Q2,C418H,All Admissions,329,"",8023,"",4.10071045743487
615,2021Q2,G107H,All Admissions,372,"",14350,"",2.59233449477352
616,2021Q2,G405H,All Admissions,631,"",23704,"",2.66199797502531
617,2021Q2,L106H,All Admissions,232,"",7008,"",3.31050228310502
618,2021Q2,L302H,All Admissions,240,"",6638,"",3.61554685146128
619,2021Q2,L308H,All Admissions,267,"",8277,"",3.2258064516129
620,2021Q2,D102H,All Admissions,23,"",5898,"",0.389962699220075
621,2021Q3,A101H,All Admissions,6,"",101,"",5.94059405940594
622,2021Q3,A111H,All Admissions,331,"",7668,"",4.31664058424622
623,2021Q3,A210H,All Admissions,218,"",5625,"",3.87555555555556
624,2021Q3,B120H,All Admissions,182,"",2758,"",6.5989847715736
625,2021Q3,Y144H,All Admissions,1,"",174,"",0.574712643678161
626,2021Q3,Y146H,All Admissions,196,"",5457,"",3.59171706065604
627,2021Q3,V217H,All Admissions,337,"",8715,"",3.86689615605278
628,2021Q3,N101H,All Admissions,504,"",12073,"",4.17460448935642
629,2021Q3,N411H,All Admissions,92,"",2639,"",3.48616900341038
630,2021Q3,C121H,All Admissions,20,"",545,"",3.6697247706422
631,2021Q3,H103H,All Admissions,29,"",648,"",4.47530864197531
632,2021Q3,H202H,All Admissions,187,"",6519,"",2.86853811934346
633,2021Q3,H212H,All Admissions,19,"",422,"",4.50236966824645
634,2021Q3,S116H,All Admissions,253,"",6233,"",4.0590405904059
635,2021Q3,S308H,All Admissions,209,"",5881,"",3.55381737799694
636,2021Q3,S314H,All Admissions,497,"",11605,"",4.28263679448514
637,2021Q3,R103H,All Admissions,23,"",938,"",2.45202558635394
638,2021Q3,Z102H,All Admissions,22,"",707,"",3.11173974540311
639,2021Q3,W107H,All Admissions,34,"",946,"",3.59408033826638
640,2021Q3,F704H,All Admissions,442,"",9778,"",4.52035181018613
641,2021Q3,T101H,All Admissions,461,"",11044,"",4.17421224194133
642,2021Q3,T202H,All Admissions,81,"",2257,"",3.58883473637572
643,2021Q3,T312H,All Admissions,0,"",837,"",0
644,2021Q3,C313H,All Admissions,139,"",3313,"",4.19559311801992
645,2021Q3,C418H,All Admissions,347,"",7641,"",4.54129040701479
646,2021Q3,G107H,All Admissions,429,"",13922,"",3.08145381410717
647,2021Q3,G405H,All Admissions,686,"",22238,"",3.08480978505261
648,2021Q3,L106H,All Admissions,273,"",6437,"",4.24110610532857
649,2021Q3,L302H,All Admissions,283,"",6195,"",4.5682001614205
650,2021Q3,L308H,All Admissions,295,"",8681,"",3.39822601082825
651,2021Q3,D102H,All Admissions,23,"",7222,"",0.318471337579618
